uuid,local_index,global_index,vol#Dioxane,vol#SN1OH03,vol#HBr,temperature,slot_id,plate_barcode,container_id,status,plate_barcodes_for_dilution,timestamp,full_status,timestamp_dilution,is_outlier,c#SN1OH03,c#HBr,nanodrop_filepath,timestamp_nanodrop,pc#SN1Br03,pc#SN1OH03,pc#HBr,yield,conversion,HBr_relative_change,run_name,c#H2O,c#acetic_acid,product_sum
MzBRNwedqTfoWN2QaT5nrs,21,66,262.3793103,209.0,28.62068966,26,0,70,21,completed,88,1702267673,"{""Dioxane"": [""completed"", 1702266080], ""SN1OH03"": [""completed"", 1702266874], ""HBr"": [""completed"", 1702267673]}",1702442958,0,0.16500000001319995,0.08586206898686898,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.10444269646887312,0.08891857218897731,3.155347062998296e-09,0.540142796920115,0.4610995625341585,3.6749022009717097e-08,simple-reactions/2023-12-11-run01/,0.417658770014206,0.16377553791474986,0.19336126865785042
oHdwvJW2JDiFRT7dNmCRUt,22,24,377.5172414,38.0,84.48275862,26,0,70,22,completed,88,1702267313,"{""Dioxane"": [""completed"", 1702265819], ""SN1OH03"": [""completed"", 1702267112], ""HBr"": [""completed"", 1702267313]}",1702442974,0,0.029999999998799987,0.2534482758498621,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.15903736255628007,0.010879111635427131,0.014423829469679688,0.9359737677751432,0.6373629454712566,0.056910347570184636,simple-reactions/2023-12-11-run01/,1.2328481761820016,0.4834338165928084,0.1699164741917072
knfpJQkSsJnvLVvjTPEU2P,23,8,427.1724138,38.0,34.82758621,26,0,70,23,completed,88,1702267619,"{""Dioxane"": [""completed"", 1702265741], ""SN1OH03"": [""completed"", 1702267124], ""HBr"": [""completed"", 1702267619]}",1702442989,0,0.029999999999399982,0.10448275862791034,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.06812100017246554,0.0037579503097913774,0.014423829603315862,0.9477183475192918,0.8747349896711154,0.13804985427962124,simple-reactions/2023-12-11-run01/,0.5082353706489167,0.1992931244146925,0.07187895048225693
6UBXWHotaoM55rut9sjTc4,24,126,91.37931034,380.0,28.62068966,26,0,70,24,completed,88,1702267683,"{""Dioxane"": [""completed"", 1702266382], ""SN1OH03"": [""completed"", 1702266532], ""HBr"": [""completed"", 1702267683]}",1702443005,0,0.2999999999999999,0.08586206898,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.08876692220787454,0.21069305220311654,0.014423829603315856,0.2964233279671867,0.29768982598961113,0.1679883768777529,simple-reactions/2023-12-11-run01/,0.41765876998079327,0.16377553790164778,0.2994599744109911
ftN6Z5XjNgU4QkJhpEUh9n,25,22,383.7241379,38.0,78.27586207,26,0,70,25,completed,88,1702267357,"{""Dioxane"": [""completed"", 1702265804], ""SN1OH03"": [""completed"", 1702267135], ""HBr"": [""completed"", 1702267357]}",1702443020,0,0.030000000001799983,0.23482758622408964,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.15599219808237594,0.011230604098702792,0.014423829469367868,0.9328404741923794,0.6256465300657011,0.0614230623467023,simple-reactions/2023-12-11-run01/,1.1422715756215631,0.44791623012198994,0.16722280218107874
7i3kDJzKozYiXzniLmxfnb,26,44,323.05172410000006,123.5,53.44827586,26,0,70,26,completed,88,1702267522,"{""Dioxane"": [""completed"", 1702265926], ""SN1OH03"": [""completed"", 1702267034], ""HBr"": [""completed"", 1702267522]}",1702443036,0,0.09750000000779996,0.1603448275928276,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.14862031072205972,0.024745309538487748,0.014423829462958062,0.8572651861349525,0.7462019534717115,0.08995506546419624,simple-reactions/2023-12-11-run01/,0.7799651727563429,0.30584588399423773,0.17336562026054747
2PocLv3yWvRUfBvgCDsKZH,27,97,173.7758621,294.5,31.72413793,26,0,70,27,completed,88,1702267651,"{""Dioxane"": [""completed"", 1702266262], ""SN1OH03"": [""completed"", 1702266693], ""HBr"": [""completed"", 1702267651]}",1702443051,0,0.2324999999860499,0.09517241378428966,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.11400788142850285,0.139261010974284,3.7884031134534165e-05,0.4501456153848935,0.4010279097520872,0.0003980568489142153,simple-reactions/2023-12-11-run01/,0.462947070219196,0.18153433112065961,0.2532688924027868
BE7uNEbcWjrgKifxeUrR7P,28,93,186.1896552,294.5,19.31034483,26,0,70,28,completed,88,1702267716,"{""Dioxane"": [""completed"", 1702266248], ""SN1OH03"": [""completed"", 1702266706], ""HBr"": [""completed"", 1702267716]}",1702443067,0,0.2324999999860499,0.057931034486524126,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.0729902217164832,0.16775244735477834,7.900577409711443e-09,0.3031877232152709,0.27848409735551155,1.3637901480163053e-07,simple-reactions/2023-12-11-run01/,0.28179386887348895,0.1104991580908606,0.24074266907126154
RGp9tecrudbi7qPdvE2dva,29,26,371.31034480000005,38.0,90.68965517,26,0,70,29,completed,88,1702267257,"{""Dioxane"": [""completed"", 1702265835], ""SN1OH03"": [""completed"", 1702267147], ""HBr"": [""completed"", 1702267257]}",1702443082,0,0.030000000001799983,0.2720689655263241,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.1757221060432977,0.011664324567439118,0.01442382946918508,0.9377525654903488,0.6111891811086912,0.05301534278737682,simple-reactions/2023-12-11-run01/,1.3234247769890086,0.5189514031603132,0.18738643061073681
WcNobwS7HLauzFh5JNC6pv,30,137,57.24137931,380.0,62.75862069,26,0,70,30,completed,88,1702267456,"{""Dioxane"": [""completed"", 1702266446], ""SN1OH03"": [""completed"", 1702266546], ""HBr"": [""completed"", 1702267456]}",1702443098,0,0.2999999999999999,0.18827586207000002,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.16760960819928614,0.16053999799594018,0.014423829603315862,0.510771931567,0.4648666733468658,0.07661008397323475,simple-reactions/2023-12-11-run01/,0.9158300737843424,0.3591222637739273,0.3281496061952263
eGLn7UohJVcy9L4ZP3JLXr,31,84,206.5172414,209.0,84.48275862,26,0,70,31,completed,88,1702267324,"{""Dioxane"": [""completed"", 1702266193], ""SN1OH03"": [""completed"", 1702266887], ""HBr"": [""completed"", 1702267324]}",1702443113,0,0.16499999999339993,0.2534482758498621,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.22383388519114528,0.05070939063588768,0.014423829603236503,0.8152954557596396,0.6926703597702055,0.05691034809714352,simple-reactions/2023-12-11-run01/,1.2328481761820016,0.4834338165928084,0.274543275827033
EZ8UX646hPKdaaoEgDTnvL,32,27,368.2068966,38.0,93.79310345,26,0,70,32,completed,88,1702267234,"{""Dioxane"": [""completed"", 1702265850], ""SN1OH03"": [""completed"", 1702267158], ""HBr"": [""completed"", 1702267234]}",1702443129,0,0.02999999999699999,0.2813793103218621,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.1808698271886313,0.01241072063518298,0.014423829469071019,0.9357890859948512,0.5863093121191981,0.05126115865651955,simple-reactions/2023-12-11-run01/,1.3687130771848404,0.5367101963626318,0.19328054782381426
