ic001,am001,ald001,ptsa,yield
0.21,0.12,0.12,0.0247398119122257,0.00021623590652916869
0.24,0.24,0.12,0.0247398119122257,-0.00013336504399820922
0.3,0.3,0.27,0.0247398119122257,-0.0006440428761693661
0.18,0.3,0.24,0.0247398119122257,-0.0005247518723398338
0.12,0.12,0.21,0.0247398119122257,0.0006609989977683434
0.12,0.24,0.3,0.0247398119122257,0.00022341504718513915
0.3,0.27,0.15,0.0247398119122257,-0.00029267196926598154
0.3,0.27,0.18,0.0247398119122257,0.00019986631126810495
0.27,0.18,0.12,0.0247398119122257,0.0004276708281538156
0.3,0.27,0.21,0.0247398119122257,0.0002509036333721917
0.24,0.12,0.3,0.0247398119122257,0.010453115719505105
0.12,0.12,0.15,0.0247398119122257,0.0004267191421517545
0.12,0.12,0.27,0.0247398119122257,0.003099571805715205
0.3,0.3,0.18,0.0247398119122257,0.0011449610515868811
0.12,0.12,0.18,0.0247398119122257,0.0013008499208991696
0.12,0.3,0.24,0.0247398119122257,0.0006533480797443272
0.3,0.12,0.24,0.0247398119122257,0.006422471326883071
0.18,0.12,0.27,0.0247398119122257,0.00442291866903195
0.3,0.15,0.15,0.0247398119122257,-0.0003237943563454396
0.3,0.21,0.18,0.0247398119122257,-0.0001387464583951446
0.12,0.18,0.12,0.0247398119122257,-0.00048519552922609514
0.3,0.12,0.21,0.0247398119122257,0.001469247376799169
0.18,0.24,0.24,0.0247398119122257,4.312690682978289e-05
0.24,0.24,0.18,0.0247398119122257,-0.000624124052049907
0.15,0.27,0.12,0.0247398119122257,0.00028887245224941903
0.18,0.24,0.12,0.0247398119122257,0.0003906798336911916
0.3,0.21,0.12,0.0247398119122257,3.674496869557831e-05
0.12,0.3,0.18,0.02754858934169279,7.857773336158209e-05
0.12,0.3,0.24,0.02754858934169279,0.0005628963305246053
0.3,0.27,0.15,0.02754858934169279,-0.00028786393310250907
0.15,0.12,0.18,0.02754858934169279,0.0010168431983345876
0.3,0.27,0.12,0.02754858934169279,7.946697051521649e-05
0.3,0.15,0.24,0.02754858934169279,0.00229063352312939
0.3,0.24,0.3,0.02754858934169279,0.0014995221707440713
0.3,0.15,0.3,0.02754858934169279,0.0075763792133618935
0.24,0.3,0.12,0.02754858934169279,-8.651061238115724e-05
0.27,0.12,0.3,0.02754858934169279,0.010413787361315045
0.24,0.18,0.12,0.02754858934169279,0.00028652128464899446
0.27,0.24,0.12,0.02754858934169279,-0.0002578518868395107
0.15,0.27,0.12,0.02754858934169279,0.00031064921360394825
0.3,0.27,0.3,0.02754858934169279,0.000656488638487431
0.18,0.27,0.12,0.02754858934169279,0.0003708220719458925
0.3,0.3,0.27,0.02754858934169279,-0.0007175295568818267
0.18,0.3,0.24,0.02754858934169279,-0.0005875441612139781
0.18,0.18,0.24,0.02754858934169279,0.0007505961010732672
0.3,0.15,0.12,0.02754858934169279,-0.0006708355929759358
0.12,0.24,0.12,0.02754858934169279,0.0010092355318880863
0.18,0.12,0.12,0.02754858934169279,0.0011033704126290262
0.18,0.18,0.12,0.02754858934169279,3.659672592146889e-05
0.15,0.3,0.12,0.02754858934169279,0.00032678189283042
0.3,0.24,0.18,0.02754858934169279,0.00038364434119550527
0.3,0.18,0.21,0.02754858934169279,0.0002135682029455701
0.21,0.15,0.12,0.02754858934169279,-0.00021475451971996744
0.21,0.18,0.12,0.02754858934169279,-0.0004169879111563492
0.21,0.21,0.12,0.02754858934169279,-0.0009471966287040148
0.12,0.18,0.18,0.02754858934169279,0.0004078086810216074
0.3,0.12,0.12,0.02754858934169279,-8.713618036963289e-05
0.21,0.12,0.15,0.02754858934169279,0.0022713924472530216
0.3,0.24,0.18,0.030357366771159876,0.00018344329838531056
0.12,0.24,0.3,0.030357366771159876,0.0007573272585731718
0.3,0.24,0.15,0.030357366771159876,-0.00015511657018595575
0.3,0.3,0.21,0.030357366771159876,-0.00010316177353528685
0.27,0.3,0.12,0.030357366771159876,-0.00028041861970475404
0.27,0.12,0.3,0.030357366771159876,0.0108803820748582
0.3,0.12,0.21,0.030357366771159876,0.0067794030002463245
0.27,0.12,0.18,0.030357366771159876,0.0035841501203062774
0.18,0.3,0.12,0.030357366771159876,0.00014155451474009794
0.18,0.3,0.24,0.030357366771159876,-0.0006360132762888797
0.3,0.27,0.24,0.030357366771159876,6.448083937013147e-06
0.15,0.15,0.12,0.030357366771159876,0.0005179511848540942
0.21,0.12,0.3,0.030357366771159876,0.00922639851096778
0.3,0.27,0.21,0.030357366771159876,0.00020386144253074003
0.18,0.12,0.18,0.030357366771159876,0.0019115052675692532
0.18,0.12,0.24,0.030357366771159876,0.002577482678030772
0.3,0.3,0.12,0.030357366771159876,-4.528672650517223e-05
0.12,0.18,0.12,0.030357366771159876,-0.0005818552588182931
0.18,0.21,0.12,0.030357366771159876,0.00029474804956826914
0.18,0.24,0.24,0.030357366771159876,0.0002728696679005185
0.24,0.18,0.18,0.030357366771159876,-6.133576075850171e-05
0.3,0.27,0.12,0.030357366771159876,8.711442695847664e-05
0.15,0.12,0.12,0.030357366771159876,-0.0004457187128255561
0.24,0.24,0.24,0.030357366771159876,-0.0009739575983406813
0.3,0.3,0.24,0.030357366771159876,9.879619266702641e-05
0.12,0.3,0.24,0.030357366771159876,0.00044659154873062667
0.3,0.24,0.12,0.030357366771159876,-0.0001977741266579389
0.15,0.12,0.18,0.030357366771159876,0.0012273894405706227
0.24,0.12,0.21,0.030357366771159876,0.0049531698471429785
0.24,0.12,0.27,0.030357366771159876,0.010772055012569472
0.15,0.12,0.24,0.030357366771159876,0.0018383294119335566
0.3,0.15,0.24,0.033166144200626954,0.0031536089290999155
0.3,0.15,0.15,0.033166144200626954,0.0004921758954236986
0.3,0.18,0.12,0.033166144200626954,-0.0001576527349495623
0.3,0.15,0.21,0.033166144200626954,0.0033309554379403533
0.18,0.3,0.3,0.033166144200626954,0.00030758782312047966
0.21,0.12,0.21,0.033166144200626954,0.005572913931974463
0.18,0.3,0.24,0.033166144200626954,-0.0006704050799205073
0.15,0.12,0.27,0.033166144200626954,0.003972953335179887
0.15,0.12,0.24,0.033166144200626954,0.0022425715368161038
0.18,0.3,0.12,0.033166144200626954,0.0001366637600506559
0.12,0.12,0.12,0.033166144200626954,-6.086907795228078e-06
0.18,0.18,0.12,0.033166144200626954,-5.746694146887632e-05
0.18,0.21,0.12,0.033166144200626954,0.00024965496249485766
0.18,0.24,0.3,0.033166144200626954,0.00024658110386829683
0.15,0.12,0.21,0.033166144200626954,0.005185932734073135
0.27,0.12,0.3,0.033166144200626954,0.011313794903645516
0.12,0.24,0.3,0.033166144200626954,0.0010610789309715267
0.3,0.3,0.21,0.033166144200626954,-0.00015666241910063024
0.3,0.12,0.21,0.033166144200626954,0.009642674084977976
0.27,0.12,0.18,0.033166144200626954,0.003798943188158921
0.15,0.12,0.18,0.033166144200626954,0.001486786976869752
0.24,0.18,0.24,0.033166144200626954,0.0017644240017046734
0.24,0.24,0.24,0.033166144200626954,-0.0008581304520602157
0.24,0.3,0.12,0.033166144200626954,-0.00013217339100185432
0.27,0.12,0.12,0.033166144200626954,0.0004008679022422226
0.12,0.12,0.24,0.033166144200626954,0.0023248930332108093
0.3,0.24,0.27,0.033166144200626954,3.499668518789652e-05
0.3,0.21,0.24,0.033166144200626954,-0.00037741314696491387
0.3,0.24,0.24,0.033166144200626954,-0.0010496845320234211
0.12,0.12,0.18,0.033166144200626954,0.0019506224947281488
0.12,0.27,0.12,0.03597492163009404,0.00039870953760468963
