ic001,ald001,am001,ptsa,IIO029A,yield,reaction_plate_id,diluted_plate_id,vial_id,is_outlier
0.24,0.18,0.24,0.12124137931034484,0.0008116733096319447,0.004509296164621914,37,48,9,0
0.15,0.27,0.12,0.17089655172413792,0.004290005307161039,0.035750044226341995,37,48,10,0
0.24,0.3,0.3,0.2900689655172414,0.016772702189231152,0.06988625912179648,37,48,11,0
0.3,0.21,0.18,0.17089655172413792,0.016632900295515948,0.09240500164175527,37,48,12,0
0.3,0.15,0.18,0.13117241379310346,0.00538837767889037,0.035922517859269136,37,48,13,0
0.3,0.15,0.3,0.02193103448275862,8.271154849312898e-09,5.514103232875266e-08,37,48,14,0
0.3,0.24,0.15,0.23048275862068965,0.009710234643911079,0.06473489762607387,37,48,15,0
0.3,0.18,0.15,0.1510344827586207,0.01669095054196837,0.10178586051245042,37,48,16,0
0.12,0.18,0.3,0.041793103448275866,-9.769577269671435e-12,-8.141314391392864e-11,37,48,17,0
0.27,0.21,0.12,0.1510344827586207,0.008415979390328121,0.07013316158606768,37,48,18,0
0.27,0.24,0.12,0.1510344827586207,0.00985473030959475,0.08212275257995626,37,48,19,0
0.27,0.12,0.15,0.1113103448275862,0.0041340657109338146,0.03445054759111512,37,48,20,0
0.24,0.24,0.12,0.2702068965517241,0.002802033070571783,0.023350275588098192,37,48,21,0
0.24,0.18,0.18,0.1113103448275862,0.002408464354658696,0.013380357525881644,37,48,22,0
0.12,0.3,0.3,0.09144827586206897,0.00031292545455240237,0.0026077121212700204,37,48,23,0
0.12,0.12,0.15,0.2900689655172414,0.0011537645639210802,0.009614704699342336,37,48,24,0
0.3,0.15,0.24,0.02193103448275862,4.989359587513375e-09,3.3262397250089166e-08,37,48,25,0
0.18,0.12,0.3,0.2602758620689655,0.004081243714562543,0.034010364288021185,37,48,26,0
0.24,0.12,0.27,0.17089655172413792,7.049568059077511e-09,5.874640049231262e-08,37,48,27,0
0.24,0.3,0.24,0.2702068965517241,0.009654695236559107,0.04022789681899629,37,48,28,0
0.24,0.12,0.18,0.17089655172413792,0.004831773250889394,0.04026477709074496,37,48,29,0
0.12,0.12,0.3,0.2801379310344828,0.003426812263360386,0.02855676886133655,37,48,30,0
0.12,0.12,0.18,0.07158620689655172,2.1998029214361235e-12,1.8331691011967698e-11,37,48,31,0
0.15,0.12,0.12,0.041793103448275866,-5.944139688928013e-12,-4.953449740773343e-11,37,48,32,0
0.3,0.15,0.15,0.2106206896551724,0.011026516795764996,0.07351011197176664,37,48,33,0
0.21,0.12,0.12,0.1113103448275862,0.005910033474864914,0.04925027895720762,37,48,34,0
0.27,0.18,0.12,0.07158620689655172,0.002877800455688583,0.023981670464071528,37,48,35,0
