ic001,ald001,am001,ptsa,IIO029A,yield,reaction_plate_id,diluted_plate_id,vial_id,is_outlier,v3_model_yield
0.3,0.3,0.12,0.0914482758620689,0.011997302400782,0.0999775200065174,51,49,4,0,0.0934804795669881
0.24,0.21,0.12,0.3,0.0017564738568097,0.0146372821400812,51,49,5,0,2.5897914795792823e-07
0.21,0.12,0.15,0.1708965517241379,0.0044752183095601,0.0372934859130011,51,49,6,0,0.04273836466367103
0.24,0.12,0.12,0.2602758620689655,0.0018723541718665,0.015602951432221,51,49,7,0,3.439203281642915e-07
0.18,0.3,0.12,0.1212413793103448,0.0082269967721187,0.0685583064343232,51,49,8,0,0.08251810871557967
0.27,0.27,0.12,0.1907586206896552,0.0074897404463572,0.0624145037196437,51,49,9,0,0.06949790858767528
0.21,0.21,0.12,0.1113103448275862,0.0067773595164862,0.0564779959707189,51,49,10,0,0.09726956557705152
0.27,0.12,0.15,0.2503448275862068,0.0030202635926304,0.0251688632719206,51,49,11,0,3.96223718611869e-07
0.21,0.12,0.21,0.0417931034482758,1.3942602304704599e-09,1.16188352539205e-08,51,49,12,0,6.275684451400341e-05
0.24,0.24,0.12,0.1212413793103448,0.0112144789033194,0.093453990860995,51,49,13,0,0.11087085256741551
0.18,0.3,0.18,0.3,0.0027108197501035,0.0150601097227974,51,49,14,0,0.0014567476861849344
0.3,0.3,0.27,0.0914482758620689,0.0019140694075182,0.0070891459537711,51,49,15,0,0.0023888433449239296
0.3,0.15,0.24,0.0417931034482758,3.218900373549748e-09,2.1459335823664987e-08,51,49,16,0,8.032226402336603e-05
0.3,0.3,0.27,0.2106206896551724,0.0140620101909743,0.052081519225831,51,49,17,0,0.06337409723696277
0.21,0.12,0.24,0.1212413793103448,4.462087955315133e-11,3.7184066294292775e-10,51,49,18,0,0.0005720491820723295
0.18,0.3,0.24,0.1113103448275862,0.0021428424808932,0.0119046804494067,51,49,19,0,0.005411293122117258
0.3,0.18,0.15,0.1013793103448275,0.0056982480180257,0.0379883201201719,51,49,20,0,0.05830145674563188
0.12,0.3,0.18,0.1510344827586207,0.0044631355877941,0.0371927965649516,51,49,21,0,0.04055097064659008
0.27,0.15,0.12,0.1013793103448275,0.0066449218010619,0.0553743483421832,51,49,22,0,0.09353409124957798
0.3,0.3,0.21,0.1708965517241379,0.01615779154496,0.0769418644998097,51,49,23,0,0.09272507088375558
0.18,0.12,0.3,0.2503448275862068,0.0017408328533847,0.014506940444873,51,49,24,0,0.03152152804966489
0.24,0.27,0.12,0.0815172413793103,0.0051421482170349,0.0428512351419575,51,49,25,0,0.06704262995445591
0.21,0.21,0.12,0.0815172413793103,0.0030681104749909,0.0255675872915908,51,49,26,0,0.05966930743281821
0.12,0.3,0.24,0.1113103448275862,0.0013262931470595,0.0110524428921631,51,49,27,0,0.005020871124503291
0.3,0.15,0.21,0.061655172413793,4.314692223241802e-12,2.876461482161201e-11,51,49,28,0,0.00041996389741230314
0.3,0.18,0.15,0.3,0.0033116673490803,0.0220777823272024,51,49,29,0,3.0065277809229223e-07
0.21,0.27,0.12,0.0715862068965517,0.0027379564366512,0.0228163036387605,51,49,30,0,0.041839490487122946
0.3,0.18,0.12,0.1212413793103448,0.0126837185300885,0.1056976544174045,51,49,31,0,0.11836436416753703
0.3,0.12,0.18,0.3,0.0047944730267154,0.0399539418892952,51,49,32,0,4.354557070487436e-07
0.15,0.3,0.12,0.061655172413793,0.0017171392232528,0.0143094935271071,51,49,33,0,0.01975122320400541
0.15,0.12,0.27,0.0715862068965517,1.7708642642826831e-09,1.4757202202355696e-08,51,49,34,0,3.4850037182590896e-05
0.3,0.27,0.3,0.061655172413793,2.377244397690093e-09,8.804608880333676e-09,51,49,35,0,0.0004440521120506936
0.15,0.3,0.12,0.3,0.0014546973184292,0.0121224776535771,51,49,36,0,1.1525852276923212e-07
0.21,0.15,0.12,0.1708965517241379,0.0050633743528273,0.0421947862735614,51,49,37,0,0.027301870560361367
0.24,0.21,0.12,0.1510344827586207,0.006796330753329,0.056636089611075,51,49,38,0,0.07512322263014129
0.3,0.24,0.18,0.1013793103448275,0.0042814091731653,0.0237856065175852,51,49,39,0,0.034285209744143806
0.21,0.12,0.24,0.2304827586206896,0.0059144681423213,0.0492872345193443,51,49,40,0,0.07797489423313032
0.18,0.15,0.12,0.2106206896551724,0.0027272877008953,0.0227273975074614,51,49,41,0,2.4419281494854895e-07
0.18,0.24,0.24,0.2801379310344828,0.0051988576338132,0.0288825424100737,51,49,42,0,0.029580799305977835
0.3,0.21,0.24,0.1708965517241379,0.0058862650006325,0.0280298333363455,51,49,43,0,0.04232869818928109
0.3,0.18,0.15,0.1708965517241379,0.0085051785045306,0.0567011900302045,51,49,44,0,0.07970432640221703
0.18,0.24,0.12,0.1212413793103448,0.005771833281357,0.0480986106779757,51,49,45,0,0.07795420298080995
0.12,0.24,0.24,0.1212413793103448,0.0009850556038586,0.0082087966988224,51,49,46,0,0.004317885801216664
0.3,0.3,0.15,0.0417931034482758,0.0017907090672851,0.0119380604485679,51,49,47,0,0.007693441527334371
0.27,0.12,0.3,0.0417931034482758,1.0018762443362216e-08,8.348968702801845e-08,51,49,48,0,2.641554122471751e-05
0.18,0.27,0.12,0.3,0.0016076063855041,0.0133967198792009,51,49,49,0,1.5796926890629965e-07
0.3,0.15,0.12,0.1510344827586207,0.0077918517343397,0.0649320977861645,51,49,50,0,0.07279695657829413
0.3,0.12,0.3,0.0219310344827586,4.9652998354812686e-09,4.1377498629010585e-08,51,49,51,0,1.77934201989408e-05
0.27,0.12,0.24,0.1510344827586207,0.0004390819504288,0.0036590162535734,51,49,52,0,0.003694496991839335
0.21,0.27,0.12,0.2602758620689655,0.0026020666521761,0.0216838887681349,51,49,53,0,2.529304245809408e-07
0.3,0.27,0.21,0.2304827586206896,0.0127791104043825,0.0608529066875358,52,47,0,0,0.0796380941282917
0.18,0.27,0.12,0.2106206896551724,0.0038196158882836,0.0318301324023641,52,47,1,0,0.012442945330861585
0.18,0.15,0.12,0.3,0.0009897162367203,0.0082476353060032,52,47,2,0,2.2023445793055977e-07
0.12,0.12,0.15,0.2602758620689655,0.0010063639726461,0.0083863664387179,52,47,3,0,1.665859903748357e-07
0.3,0.24,0.27,0.0715862068965517,1.0792422399245061e-08,4.496842666352108e-08,52,47,4,0,0.0007527849179737665
0.3,0.12,0.18,0.2602758620689655,0.0054069154003912,0.0450576283365937,52,47,5,0,0.010572548602517108
0.3,0.27,0.24,0.1907586206896552,0.0066571436167149,0.0277380984029789,52,47,6,0,0.07055191928021584
0.15,0.15,0.12,0.3,5.845223069947599e-05,0.0004871019224956,52,47,7,0,1.726176839476704e-07
0.27,0.15,0.12,0.2602758620689655,0.0024460078251137,0.0203833985426147,52,47,8,0,3.532480939579052e-07
0.3,0.12,0.18,0.1013793103448275,0.001313601165699,0.0109466763808255,52,47,9,0,0.004312945433066823
0.18,0.3,0.24,0.2106206896551724,0.0111739685697396,0.0620776031652201,52,47,10,0,0.05746542307834863
0.12,0.12,0.24,0.3,0.001822809776028,0.0151900814669003,52,47,11,0,1.897506752191784e-07
0.24,0.18,0.12,0.1212413793103448,0.0091721994051909,0.1096153501964673,52,47,12,0,0.09535940954695071
0.27,0.12,0.12,0.0815172413793103,0.0035364475227744,0.0294703960231202,52,47,13,0,0.038729577699108834
0.3,0.24,0.24,0.0715862068965517,0.0005243856234207,0.0021849400975862,52,47,14,0,0.0013651186399860713
0.12,0.27,0.12,0.2304827586206896,0.0001449668972242,0.0012080574768691,52,47,15,0,5.186983945620287e-07
0.24,0.12,0.3,0.0219310344827586,1.4679455623619264e-05,0.0001223287968634,52,47,16,0,1.427233556207213e-05
0.12,0.3,0.24,0.1708965517241379,0.0029171436286937,0.0243095302391143,52,47,17,0,0.020803504574176953
0.27,0.12,0.12,0.3,0.0010206238530635,0.0085051987755296,52,47,18,0,3.560802022881516e-07
0.24,0.24,0.24,0.1510344827586207,0.0043835122111424,0.0182646342130933,52,47,19,0,0.01756115973287954
0.27,0.21,0.12,0.2304827586206896,0.0036491199392567,0.0304093328271399,52,47,20,0,0.01889033066374956
0.18,0.27,0.12,0.1907586206896552,0.0045489699927667,0.0379080832730563,52,47,21,0,0.024549197277852045
0.24,0.18,0.12,0.1510344827586207,0.0070700446810666,0.0589170390088883,52,47,22,0,0.0655804639559966
0.15,0.12,0.18,0.2106206896551724,0.0025545748185565,0.021288123487971,52,47,23,0,0.01675158664813513
0.18,0.21,0.12,0.1113103448275862,0.0034580714175808,0.0288172618131739,52,47,24,0,0.0810230077802216
0.12,0.12,0.3,0.1510344827586207,-1.2229691449507828e-11,0.0,52,47,25,0,9.141977435230854e-05
0.24,0.12,0.12,0.1311724137931034,0.0063341500921488,0.0527845841012404,52,47,26,0,0.06050895296153826
0.12,0.18,0.18,0.0815172413793103,0.0005476886551553,0.0045640721262941,52,47,27,0,0.0025127237893584112
0.3,0.27,0.18,0.1311724137931034,0.011334137000358,0.0629674277797666,52,47,28,0,0.083834825400046
0.12,0.3,0.24,0.2900689655172414,0.0029736453943903,0.0247803782865866,52,47,29,0,0.01305986610903963
0.15,0.18,0.12,0.2503448275862068,0.001581454161847,0.0131787846820583,52,47,30,0,1.7420640076625167e-07
0.27,0.3,0.12,0.0715862068965517,0.0046141912505638,0.0384515937546991,52,47,31,0,0.048701146035959306
0.21,0.12,0.18,0.1510344827586207,0.0043124924361797,0.0359374369681644,52,47,32,0,0.051960734610728414
0.12,0.12,0.24,0.1907586206896552,0.0013294877569137,0.0110790646409475,52,47,33,0,0.014042915505586475
0.15,0.18,0.12,0.3,0.0006414147772393,0.0053451231436609,52,47,34,0,1.800288200608103e-06
0.3,0.24,0.15,0.0914482758620689,0.0055028564917365,0.0366857099449106,52,47,35,0,0.05599552118045775
0.12,0.12,0.24,0.1311724137931034,6.235869290930082e-05,0.0005196557742441,52,47,36,0,0.000659332161059323
0.18,0.12,0.18,0.1311724137931034,0.0020044077716757,0.0167033980972977,52,47,37,0,0.018743129032950525
0.12,0.3,0.12,0.2602758620689655,0.0016324766930696,0.0136039724422466,52,47,38,0,9.238658532524748e-08
0.24,0.24,0.12,0.2106206896551724,0.0040937066666224,0.0341142222218538,52,47,39,0,0.03157011333266847
0.12,0.21,0.12,0.2304827586206896,0.0016121273499346,0.0134343945827883,52,47,40,0,1.2606630317553037e-07
0.18,0.24,0.24,0.1510344827586207,0.0027461661872522,0.0152564788180679,52,47,41,0,0.01293815343306747
0.3,0.3,0.3,0.0715862068965517,9.615111457474838e-09,3.205037152491613e-08,52,47,42,0,0.0008473790254520586
0.12,0.12,0.3,0.3,0.0022548440717764,0.018790367264804,52,47,43,0,0.034497322437085365
0.18,0.15,0.12,0.0715862068965517,0.0011668020299208,0.00972335024934,52,47,44,0,0.017888426429164737
0.3,0.15,0.21,0.2900689655172414,0.0060710502634323,0.0404736684228822,52,47,45,0,0.021766569574800915
0.3,0.12,0.21,0.2900689655172414,0.0047378727926195,0.0394822732718294,52,47,46,0,0.010764923057003736
0.3,0.21,0.24,0.1013793103448275,0.0012665447715922,0.0060311655790107,52,47,47,0,0.0024635319900037024
0.18,0.24,0.24,0.1013793103448275,0.001142608388481,0.00634782438045,52,47,48,0,0.0026009165355819178
0.12,0.12,0.3,0.1708965517241379,1.914699369585632e-09,1.5955828079880268e-08,52,47,49,0,0.00021418058855714346
0.18,0.12,0.3,0.2106206896551724,0.0010635601190485,0.0088630009920708,52,47,50,0,0.003740550717269939
0.12,0.3,0.12,0.1311724137931034,0.0028576302359365,0.0238135852994716,52,47,51,0,0.036925758277597774
0.24,0.18,0.24,0.1013793103448275,0.0003445401623202,0.0019141120128903,52,47,52,0,0.0014193740264296859
0.21,0.12,0.24,0.1510344827586207,0.0008421677542444,0.0070180646187033,52,47,53,0,0.003066295248532065
0.18,0.15,0.12,0.1708965517241379,0.0030350175521906,0.0252918129349218,53,48,0,0,0.01806466277337285
0.24,0.12,0.18,0.2702068965517241,0.0033820996431659,0.0281841636930495,53,48,1,0,3.586522658062377e-07
0.21,0.3,0.12,0.3,0.0007035162511248,0.0058626354260401,53,48,2,0,1.765490647788673e-07
0.3,0.18,0.27,0.2106206896551724,0.0049063793202355,0.0272576628901975,53,48,3,0,0.05287945505897148
0.18,0.12,0.18,0.2801379310344828,0.0011083980590736,0.0092366504922805,53,48,4,0,2.6316168490572476e-07
0.18,0.3,0.18,0.0715862068965517,0.0014298234804741,0.0079434637804117,53,48,5,0,0.00529209996558736
0.18,0.21,0.12,0.2801379310344828,0.0012755759475452,0.0106297995628771,53,48,6,0,1.8851028844287295e-07
0.3,0.24,0.3,0.0914482758620689,2.3122915629314388e-09,9.634548178880997e-09,53,48,7,0,0.0007156779074630263
0.3,0.12,0.24,0.0914482758620689,3.5116730886106694e-11,2.926394240508892e-10,53,48,8,0,0.00019929017737781922
0.24,0.12,0.15,0.2801379310344828,0.0022245353528097,0.018537794606748,53,48,9,0,3.3899659487631814e-07
0.24,0.24,0.12,0.1708965517241379,0.0058327809705257,0.0486065080877143,53,48,10,0,0.0648113208975558
0.18,0.24,0.12,0.0417931034482758,0.0005638525360237,0.0046987711335309,53,48,11,0,0.006705350616893427
0.27,0.12,0.18,0.2106206896551724,0.0053241788913649,0.0443681574280415,53,48,12,0,0.04966151337495949
0.18,0.18,0.18,0.2503448275862068,0.0024529600272422,0.0136275557069011,53,48,13,0,0.007598493486131226
0.3,0.12,0.27,0.0715862068965517,4.476271667849926e-09,3.730226389874938e-08,53,48,14,0,6.867374163158572e-05
0.12,0.12,0.18,0.1907586206896552,0.0017710180087399,0.0147584834061663,53,48,15,0,0.02302317382203308
0.3,0.27,0.18,0.1907586206896552,0.0154766721881821,0.0859815121565673,53,48,16,0,0.09915714876696922
0.12,0.21,0.12,0.2602758620689655,0.0006851053389839,0.0057092111581995,53,48,17,0,1.2014139024023186e-07
0.12,0.24,0.12,0.1013793103448275,0.0023159085561419,0.0192992379678496,53,48,18,0,0.042572983267952225
0.24,0.12,0.18,0.0914482758620689,0.0005749108871424,0.0047909240595207,53,48,19,0,0.002236727956027153
0.18,0.12,0.24,0.2503448275862068,0.0033030288158863,0.0275252401323863,53,48,20,0,0.04400607828988804
0.24,0.24,0.18,0.1708965517241379,0.0108490260663882,0.0602723670354904,53,48,21,0,0.08573326562395218
0.24,0.12,0.24,0.2602758620689655,0.0044563658853938,0.0371363823782821,53,48,22,0,0.05233698814866831
0.3,0.27,0.24,0.1708965517241379,0.0100193674728146,0.0417473644700612,53,48,23,0,0.05352302845683403
0.12,0.12,0.21,0.1907586206896552,0.0023007525741256,0.0191729381177137,53,48,24,0,0.0337206409321685
0.18,0.24,0.24,0.0417931034482758,1.3860966386397703e-09,7.700536881332057e-09,53,48,25,0,0.0004296767021700377
0.3,0.18,0.27,0.0815172413793103,1.6724339230669544e-09,9.291299572594193e-09,53,48,26,0,0.00028878029131250936
0.12,0.15,0.12,0.0417931034482758,0.0001242393208311,0.0010353276735931,53,48,27,0,0.0015532964405008758
0.18,0.12,0.24,0.1311724137931034,0.0003482843084457,0.0029023692370475,53,48,28,0,0.0009258026347197585
0.24,0.12,0.15,0.1013793103448275,0.0015804897911815,0.0131707482598458,53,48,29,0,0.021655768594704073
0.15,0.21,0.12,0.1013793103448275,0.0032361527536011,0.0269679396133427,53,48,30,0,0.05718259644485875
0.3,0.18,0.15,0.0914482758620689,0.0047771537914442,0.0318476919429616,53,48,31,0,0.041235242819464744
0.3,0.18,0.15,0.2801379310344828,0.004190544281526,0.0279369618768406,53,48,32,0,5.21416146828493e-06
0.15,0.12,0.3,0.2801379310344828,0.0041002561744716,0.0341688014539303,53,48,33,0,0.04958524110694087
0.15,0.12,0.18,0.1212413793103448,0.0009723996786175,0.0081033306551459,53,48,34,0,0.006895119235591425
0.15,0.21,0.12,0.2106206896551724,0.0017671378443004,0.0147261487025038,53,48,35,0,1.7004224740515302e-07
0.3,0.12,0.27,0.2304827586206896,0.0076012521058964,0.0633437675491371,53,48,36,0,0.06945967117671412
0.3,0.21,0.21,0.2503448275862068,0.0088094825553764,0.041949916930364,53,48,37,0,0.054042532596459865
0.27,0.12,0.24,0.0815172413793103,-1.3857091897838069e-11,0.0,53,48,38,0,0.0001332536510483685
0.3,0.24,0.18,0.2900689655172414,0.0054363645351941,0.0302020251955231,53,48,39,0,0.026730593416317432
0.3,0.21,0.12,0.2602758620689655,0.0032741499667162,0.0272845830559685,53,48,40,0,0.0028509825332625827
0.3,0.18,0.21,0.0219310344827586,-1.812696404855121e-12,0.0,53,48,41,0,0.00011711184527031103
0.24,0.12,0.3,0.0914482758620689,1.077195281801686e-10,8.976627348347384e-10,53,48,42,0,5.2693655691757493e-05
0.27,0.12,0.24,0.1311724137931034,0.0003445999151752,0.0028716659597937,53,48,43,0,0.001272781594470344
0.3,0.15,0.12,0.1708965517241379,0.0073672995883941,0.0613941632366176,53,48,44,0,0.05395981567801029
0.24,0.18,0.24,0.1708965517241379,0.0038089164642331,0.0211606470235173,53,48,45,0,0.02690774292255338
0.18,0.18,0.24,0.2900689655172414,0.0033934387078609,0.0188524372658941,53,48,46,0,0.01690525288021991
0.12,0.21,0.12,0.1510344827586207,0.0027865783849409,0.0232214865411741,53,48,47,0,0.019054879434097383
0.3,0.24,0.15,0.2702068965517241,0.0049228225768698,0.0328188171791322,53,48,48,0,0.025298779652167487
0.3,0.18,0.12,0.0815172413793103,0.005811920114495,0.0484326676207922,53,48,49,0,0.07940390780929435
0.18,0.12,0.21,0.1113103448275862,0.000251424384961,0.0020952032080085,53,48,50,0,0.0013610030495926028
0.18,0.18,0.12,0.0417931034482758,0.0004575553710984,0.0038129614258201,53,48,51,0,0.0035726518981078906
0.21,0.27,0.12,0.2106206896551724,0.0041324145659139,0.0344367880492826,53,48,52,0,0.02434767633243139
0.24,0.12,0.15,0.0417931034482758,2.0621580489540364e-09,1.7184650407950303e-08,53,48,53,0,0.0005454180810536576
0.12,0.24,0.24,0.1907586206896552,0.0017834660799303,0.0148622173327532,54,49,1,0,0.027877551815752584
0.21,0.12,0.18,0.1013793103448275,0.0004811581009668,0.0040096508413902,54,49,2,0,0.0032594771831670486
0.24,0.18,0.3,0.1013793103448275,1.1102890335798124e-10,6.168272408776734e-10,54,49,3,0,0.00019204986166313596
0.3,0.21,0.18,0.1113103448275862,0.0045732842031348,0.0254071344618603,54,49,4,0,0.03900244120590592
0.21,0.18,0.12,0.1113103448275862,0.0054106347128326,0.0450886226069386,54,49,5,0,0.09039626082786602
0.12,0.12,0.18,0.2503448275862068,0.0007476493705203,0.0062304114210026,54,49,6,0,1.812966046618325e-07
0.3,0.27,0.18,0.1510344827586207,0.0146533127524855,0.0814072930693642,54,49,7,0,0.10599404215980925
0.24,0.12,0.27,0.1907586206896552,0.0016573008646812,0.0138108405390102,54,49,8,0,0.0074758874256715254
0.12,0.3,0.24,0.1212413793103448,0.0012917881896272,0.010764901580227,54,49,9,0,0.006288615554534415
0.3,0.21,0.3,0.2702068965517241,0.0145963734329887,0.0695065401570892,54,49,10,0,0.08493360882514467
0.3,0.15,0.27,0.0219310344827586,-1.4152066375842452e-11,0.0,54,49,11,0,2.679964437662673e-05
0.12,0.21,0.12,0.2702068965517241,0.0003158421681458,0.0026320180678822,54,49,12,0,1.1819871807194055e-07
0.18,0.27,0.12,0.2900689655172414,0.0005295869987487,0.0044132249895728,54,49,13,0,1.587142905926915e-07
0.15,0.12,0.12,0.061655172413793,0.0002976238596405,0.0024801988303377,54,49,14,0,0.0033626391572667935
0.18,0.12,0.12,0.2503448275862068,0.0011253754855351,0.0093781290461262,54,49,15,0,2.451616342715496e-07
0.12,0.24,0.12,0.2503448275862068,0.0005303150764642,0.004419292303869,54,49,16,0,1.1208651929721386e-07
0.21,0.12,0.15,0.1311724137931034,0.004311296228271,0.0359274685689254,54,49,17,0,0.06234656170460228
0.15,0.15,0.12,0.1113103448275862,0.0027901441246613,0.0232512010388445,54,49,18,0,0.055052580332068106
0.18,0.24,0.12,0.2602758620689655,0.000874133871336,0.0072844489278007,54,49,19,0,1.7905144164633282e-07
0.3,0.12,0.12,0.2503448275862068,0.002643048988611,0.0220254082384254,54,49,20,0,4.216774034351824e-07
0.18,0.24,0.18,0.3,0.0014572117290275,0.0080956207168195,54,49,21,0,1.2554909423858362e-07
0.15,0.12,0.3,0.1510344827586207,1.2994104058329231e-09,1.0828420048607691e-08,54,49,22,0,0.00011369550793064535
0.3,0.24,0.15,0.1708965517241379,0.0081607221394738,0.0727974889420968,54,49,23,0,0.10040320849016816
0.18,0.3,0.12,0.1311724137931034,0.0049802817253936,0.0415023477116133,54,49,24,0,0.0739990967017154
0.3,0.27,0.18,0.0417931034482758,0.0007530635782472,0.004183686545818,54,49,25,0,0.0027873310360296733
0.12,0.3,0.24,0.2602758620689655,0.0025859418265431,0.0215495152211931,54,49,26,0,0.031084347536712638
0.3,0.15,0.21,0.0914482758620689,0.0005036707272756,0.0033578048485046,54,49,27,0,0.001672629764266123
0.24,0.3,0.12,0.2304827586206896,0.0025485881771056,0.0212382348092141,54,49,28,0,0.028330427688570217
0.3,0.15,0.15,0.1907586206896552,0.006753980508272,0.0450265367218137,54,49,29,0,0.051050862368399993
0.3,0.12,0.21,0.0914482758620689,7.484198419928112e-12,6.236832016606761e-11,54,49,30,0,0.0006711861413399225
0.18,0.24,0.12,0.0219310344827586,0.0002006995690731,0.0016724964089426,54,49,31,0,0.002191812303511244
0.15,0.12,0.18,0.0417931034482758,1.0457958408779325e-11,8.714965340649438e-11,54,49,32,0,0.00010204268025427196
0.24,0.12,0.18,0.2106206896551724,0.0037680614382806,0.0314005119856724,54,49,33,0,0.042033740326908875
0.18,0.12,0.12,0.1311724137931034,0.0035530271338954,0.0296085594491285,54,49,34,0,0.042357539836867075
0.24,0.18,0.3,0.2106206896551724,0.003273929675159,0.0181884981953278,54,49,35,0,0.016587129425081178
0.3,0.21,0.27,0.2106206896551724,0.0090064831820111,0.0428880151524339,54,49,36,0,0.05606948481345156
0.12,0.24,0.18,0.2900689655172414,0.0008118134271155,0.0067651118926299,54,49,37,0,1.1897245269017737e-07
0.3,0.3,0.24,0.3,0.004773018986414,0.0198875791100587,54,49,38,0,0.0535936696647048
0.3,0.12,0.3,0.1510344827586207,2.519900950576976e-13,2.0999174588141466e-12,54,49,39,0,0.00022209734554623362
0.24,0.15,0.12,0.0417931034482758,0.0003891114661341,0.0032425955511177,54,49,40,0,0.0031781347117866205
0.12,0.12,0.27,0.2106206896551724,0.0014547210460198,0.0121226753834991,54,49,41,0,0.010229745965133137
0.18,0.3,0.12,0.2304827586206896,0.0017347004836143,0.0144558373634525,54,49,42,0,0.0054707893424824575
0.3,0.18,0.27,0.0219310344827586,6.890808244635273e-10,3.8282268025751505e-09,54,49,43,0,3.497242530075815e-05
0.24,0.3,0.24,0.0815172413793103,0.0016884086380224,0.0070350359917602,54,49,44,0,0.0026264857415193104
0.3,0.18,0.18,0.2304827586206896,0.0056544571661893,0.0314136509232744,54,49,45,0,0.04664986749750083
0.15,0.27,0.12,0.061655172413793,0.0010920546389399,0.0091004553244998,54,49,46,0,0.018784253448564506
0.24,0.12,0.15,0.2503448275862068,0.0022047765004973,0.0183731375041448,54,49,47,0,3.5234205853624676e-07
0.3,0.27,0.18,0.1212413793103448,0.0082145709856538,0.0456365054758547,54,49,48,0,0.07006386424361963
0.3,0.21,0.3,0.2304827586206896,0.0077512509532206,0.03691071882486,54,49,49,0,0.04928396418198573
0.18,0.3,0.12,0.2702068965517241,0.0011387840964572,0.0094898674704768,54,49,50,0,1.5156493656890875e-07
0.3,0.21,0.24,0.0417931034482758,1.422260193574246e-09,6.772667588448793e-09,54,49,51,0,0.00029543964377912033
0.18,0.12,0.21,0.1311724137931034,0.0009764906331021,0.0081374219425181,54,49,52,0,0.0036279683259130705
0.18,0.12,0.18,0.1510344827586207,0.0030614001442625,0.0255116678688543,54,49,53,0,0.04303658130969497
0.27,0.12,0.15,0.1311724137931034,0.0030491166792487,0.0254093056604058,56,49,0,0,0.08043501813409647
0.3,0.18,0.12,0.0914482758620689,0.0070078575119762,0.0583988125998017,56,49,1,0,0.10108523598818096
0.18,0.12,0.15,0.2503448275862068,0.0024663277230594,0.0205527310254951,56,49,2,0,2.6034050829564087e-07
0.27,0.12,0.15,0.3,0.0011800732954375,0.009833944128646,56,49,3,0,3.7556622396472635e-07
