reactions,[SN10H01](mM),[HBr](mM),Temperature,yield,reactions,DMF,SN1OH01,SN1OH01_dil_x_100,HBr,HBr_dil_x_10,HBr_dil_x_10000,vial_id,reaction_plate_id,diluted_plate_id,craic_folder,is_outlier,craic_folder_undil,pc#SN1OH01,pc#SN1Br01s1,pc#carbocat,yield#SN1Br01,yield#SN1Br01s1,run_name,spectrum_dir
32,17.18072503001,0.0,26.0,0.0340855066450959,32,214.905,285.095,0,0.0,0.0,0.0,32,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.016595111312832,2.0622305005501507e-05,0.0063570719888811,0.0328851903039939,0.001200316341102,simple-reactions/2023-07-05-run01/,C:\
33,17.1807250303536,59.138246896322705,26.0,0.9231308137388924,33,128.697643,285.095,0,86.20735699,0.0,0.0,33,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0013206683524591,2.060280968041406e-05,0.0089177258950441,0.921931632118558,0.001199181620334,simple-reactions/2023-07-05-run01/,C:\
34,17.1807250293227,33.1184258605952,26.0,0.8400941457775559,34,166.6274113,285.095,0,48.27758872,0.0,0.0,34,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0027472985119747,3.1638874886713e-06,0.0083936176615319,0.8399099924613674,0.0001841533161884,simple-reactions/2023-07-05-run01/,C:\
36,11.461450020249199,54.407370347228095,26.0,0.9236880781410776,36,230.4989645,190.19,0,79.31103549,0.0,0.0,36,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0008746452783352,2.075200484507744e-05,-0.0044738910594118,0.9218774865659788,0.0018105915750986,simple-reactions/2023-07-05-run01/,C:\
37,11.4614500195615,37.84930240940599,26.0,0.8618414351427367,37,254.6360898,190.19,0,55.17391022,0.0,0.0,37,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0015834974858858,2.0616836358344435e-05,0.0115340336060059,0.8600426368822062,0.0017987982605304,simple-reactions/2023-07-05-run01/,C:\
38,11.4614500197907,18.9257962076814,26.0,0.6515989604821004,38,282.2213758,190.19,0,27.58862421,0.0,0.0,38,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0039931811012775,2.0622568454680825e-05,0.0035739834142821,0.6497996621019589,0.0017992983801413,simple-reactions/2023-07-05-run01/,C:\
39,5.7421750094557,66.23456171887649,26.0,0.9688331252584256,39,308.1631608,95.285,0,96.55183925,0.0,0.0,39,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0001789656492639,2.0606690994515945e-05,0.0068228825643703,0.9652444692246782,0.0035886560337472,simple-reactions/2023-07-05-run01/,C:\
40,22.90000004,49.676493790280006,26.0,0.8973542801707363,40,47.58528602,380.0,0,72.41471398,0.0,0.0,40,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0023505869881959,2.0605500534865383e-05,0.0137808935492348,0.8964544766555016,0.0008998035152346,simple-reactions/2023-07-05-run01/,C:\
41,17.1807250286355,52.0419320674766,26.0,0.905793261726131,41,139.0421253,285.095,0,75.86287474,0.0,0.0,41,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0016185400661279,1.236113817390573e-06,0.012041350670448,0.9057213140163964,7.194770973461896e-05,simple-reactions/2023-07-05-run01/,C:\
42,5.7421750099151,18.9257962076814,26.0,0.7168299755432711,42,377.1263758,95.285,0,27.58862421,0.0,0.0,42,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0016260118379924,7.927258518931827e-08,0.0055484689237956,0.7168161702194952,1.380532377582298e-05,simple-reactions/2023-07-05-run01/,C:\
43,17.180725029666302,23.6566727565868,26.0,0.7316003808629817,43,180.4200543,285.095,0,34.48494571,0.0,0.0,43,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0046113000544602,2.1915101733293515e-06,0.0130352287735418,0.7314728245363689,0.0001275563266128,simple-reactions/2023-07-05-run01/,C:\
44,17.1807250282919,7.0986048279900995,26.0,0.3482946831695642,44,204.5571796,285.095,0,10.34782045,0.0,0.0,44,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0111967698479395,0.00776589570263,0.0314471541988173,-0.1037174228295545,0.4520121059991188,simple-reactions/2023-07-05-run01/,C:\
46,22.90000004,16.560357933560002,26.0,0.6079916030905684,46,95.85953654,380.0,0,24.14046346,0.0,0.0,46,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0089769923049063,2.060564511876136e-05,0.0215184482365997,0.6070917932616265,0.0008998098289418,simple-reactions/2023-07-05-run01/,C:\
