yield of 15d,[Alcohol](mM),[HBr](mM),Temperature(°C),spectrum_dir
0.15022701948059236,14.320999999999998,17.15,6.0,C:\
0.20364895797887786,14.320999999999998,17.15,21.0,C:\
0.21928191087392435,14.320999999999998,17.15,36.0,C:\
0.17780512484827682,14.320999999999998,17.15,51.0,C:\
0.07347786901581799,14.320999999999998,17.15,66.0,C:\
0.08087817153246846,14.320999999999998,34.3,6.0,C:\
0.1433764932703916,14.320999999999998,34.3,21.0,C:\
0.1721547118252431,14.320999999999998,34.3,36.0,C:\
0.14095017724162062,14.320999999999998,34.3,51.0,C:\
0.04711789531229371,14.320999999999998,34.3,66.0,C:\
0.031162563002951064,14.320999999999998,51.45,6.0,C:\
0.096289604955885,14.320999999999998,51.45,21.0,C:\
0.12540914663030378,14.320999999999998,51.45,36.0,C:\
0.09805665332288528,14.320999999999998,51.45,51.0,C:\
0.0205986687099724,14.320999999999998,51.45,66.0,C:\
0.019997160635625733,14.320999999999998,68.6,6.0,C:\
0.08012436379138421,14.320999999999998,68.6,21.0,C:\
0.1009418811121705,14.320999999999998,68.6,36.0,C:\
0.0734260453593123,14.320999999999998,68.6,51.0,C:\
0.01118413599086665,14.320999999999998,68.6,66.0,C:\
0.14890595751766256,18.6105,0.0,6.0,C:\
0.1823142678902343,18.6105,0.0,21.0,C:\
0.17795618651579306,18.6105,0.0,36.0,C:\
0.13514062560770768,18.6105,0.0,51.0,C:\
0.046748701727430834,18.6105,0.0,66.0,C:\
0.13442908644935514,18.6105,17.15,6.0,C:\
0.17407303869627455,18.6105,17.15,21.0,C:\
0.178918206850323,18.6105,17.15,36.0,C:\
0.14045572524579342,18.6105,17.15,51.0,C:\
0.048575593403018764,18.6105,17.15,66.0,C:\
0.061797644410198416,18.6105,34.3,6.0,C:\
0.10918021585574422,18.6105,34.3,21.0,C:\
0.1287187837792736,18.6105,34.3,36.0,C:\
0.1025228418316182,18.6105,34.3,51.0,C:\
0.022137302016339788,18.6105,34.3,66.0,C:\
0.007369411125146995,18.6105,51.45,6.0,C:\
0.06225264648073647,18.6105,51.45,21.0,C:\
0.0894256424944544,18.6105,51.45,36.0,C:\
0.07000886027036303,18.6105,51.45,51.0,C:\
0.003827711246557897,18.6105,51.45,66.0,C:\
-0.003879606526233204,18.6105,68.6,6.0,C:\
0.051955293833586325,18.6105,68.6,21.0,C:\
0.07684693383662022,18.6105,68.6,36.0,C:\
0.058427763278501736,18.6105,68.6,51.0,C:\
0.004083523086002572,18.6105,68.6,66.0,C:\
0.12639598784982908,22.9,0.0,6.0,C:\
0.1593175853255353,22.9,0.0,21.0,C:\
0.15405303578454266,22.9,0.0,36.0,C:\
0.11208177624881087,22.9,0.0,51.0,C:\
0.030377238292112807,22.9,0.0,66.0,C:\
0.11940888382223493,22.9,17.15,6.0,C:\
0.14975845005594654,22.9,17.15,21.0,C:\
0.1459936977790548,22.9,17.15,36.0,C:\
0.1073897215028019,22.9,17.15,51.0,C:\
0.027245446993607203,22.9,17.15,66.0,C:\
0.06060333438719213,22.9,34.3,6.0,C:\
0.09365561781417853,22.9,34.3,21.0,C:\
0.10120917045332334,22.9,34.3,36.0,C:\
0.07480346109927183,22.9,34.3,51.0,C:\
0.0070105611569673,22.9,34.3,66.0,C:\
0.01290420441664608,22.9,51.45,6.0,C:\
0.054448806102129765,22.9,51.45,21.0,C:\
0.07326599346892237,22.9,51.45,36.0,C:\
0.05587591656017565,22.9,51.45,51.0,C:\
-0.00014133952054606882,22.9,51.45,66.0,C:\
-0.00023261574676780586,22.9,68.6,6.0,C:\
0.046646269398287636,22.9,68.6,21.0,C:\
0.06936383623063946,22.9,68.6,36.0,C:\
0.05568610798878737,22.9,68.6,51.0,C:\
0.008456265385589745,22.9,68.6,66.0,C:\
