reactions,DMF,SN1OH01,SN1OH01_dil_x_100,HBr,HBr_dil_x_10,HBr_dil_x_10000,vial_id,reaction_plate_id,diluted_plate_id,craic_folder,is_outlier,craic_folder_undil,c#SN1OH01,c#HBr,Temperature,pc#SN1OH01,pc#SN1Br01s1,pc#carbocat,yield,yield#SN1Br01,yield#SN1Br01s1,run_name
37,254.6360898,190.19,0,55.17391022,0.0,0.0,37,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.011461450019561541,0.03784930240940603,26,0.0015834974858858753,2.0616836358344435e-05,0.01153403360600594,0.8618414351427367,0.8600426368822062,0.0017987982605304886,simple-reactions/2023-07-05-run01/
38,282.2213758,190.19,0,27.58862421,0.0,0.0,38,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.011461450019790771,0.018925796207681485,26,0.003993181101277555,2.0622568454680825e-05,0.003573983414282112,0.6515989604821004,0.6497996621019589,0.0017992983801413715,simple-reactions/2023-07-05-run01/
39,308.1631608,95.285,0,96.55183925,0.0,0.0,39,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.005742175009455782,0.06623456171887655,26,0.00017896564926390783,2.0606690994515945e-05,0.006822882564370303,0.9688331252584256,0.9652444692246782,0.0035886560337472116,simple-reactions/2023-07-05-run01/
40,47.58528602,380.0,0,72.41471398,0.0,0.0,40,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.022900000040000004,0.04967649379028,26,0.0023505869881959678,2.0605500534865383e-05,0.013780893549234896,0.8973542801707363,0.8964544766555016,0.0008998035152346393,simple-reactions/2023-07-05-run01/
41,139.0421253,285.095,0,75.86287474,0.0,0.0,41,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.017180725028635543,0.052041932067476634,26,0.0016185400661279804,1.236113817390573e-06,0.012041350670448092,0.905793261726131,0.9057213140163964,7.194770973461896e-05,simple-reactions/2023-07-05-run01/
42,377.1263758,95.285,0,27.58862421,0.0,0.0,42,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.005742175009915157,0.018925796207681485,26,0.0016260118379924928,7.927258518931827e-08,0.005548468923795624,0.7168299755432711,0.7168161702194952,1.380532377582298e-05,simple-reactions/2023-07-05-run01/
43,180.4200543,285.095,0,34.48494571,0.0,0.0,43,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.017180725029666388,0.023656672756586863,26,0.004611300054460295,2.1915101733293515e-06,0.013035228773541824,0.7316003808629817,0.7314728245363689,0.00012755632661283012,simple-reactions/2023-07-05-run01/
44,204.5571796,285.095,0,10.34782045,0.0,0.0,44,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.017180725028291932,0.0070986048279901405,26,0.01119676984793959,0.007765895702630005,0.03144715419881733,0.34829468316956425,-0.1037174228295545,0.4520121059991188,simple-reactions/2023-07-05-run01/
46,95.85953654,380.0,0,24.14046346,0.0,0.0,46,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.022900000040000004,0.01656035793356,26,0.00897699230490632,2.060564511876136e-05,0.02151844823659971,0.6079916030905684,0.6070917932616265,0.000899809828941876,simple-reactions/2023-07-05-run01/
47,37.24080376,380.0,0,82.75919624,0.0,0.0,47,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.022900000040000004,0.05677280862064,26,0.002033113116683517,2.0600457692046927e-05,0.01533630544683451,0.9112177679854924,0.910318184681734,0.0008995833037582355,simple-reactions/2023-07-05-run01/
48,183.868215,285.095,0,31.03678496,0.0,0.0,48,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.017180725031384462,0.0212912344842633,26,0.005206232345966867,2.060862390320625e-05,0.016183012479303042,0.6969724888526816,0.6957729688169694,0.001199520035712111,simple-reactions/2023-07-05-run01/
49,44.13712526,380.0,0,75.86287474,0.0,0.0,49,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.022900000040000004,0.05204193207164,26,0.0019838309089539896,2.6655687742455385e-07,0.022395144085210816,0.9133698294546384,0.9133581894163432,1.1640038295150756e-05,simple-reactions/2023-07-05-run01/
50,275.32505430000003,190.19,0,34.48494571,0.0,0.0,50,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.011461450019790771,0.02365667275658687,26,0.0028356718200709947,2.0701506146520787e-05,0.002218474135658344,0.7525904824280898,0.7507842968136367,0.0018061856144532308,simple-reactions/2023-07-05-run01/
52,190.7645365,285.095,0,24.14046346,0.0,0.0,52,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.017180725031384462,0.01656035793488483,26,0.00662389033094001,5.883243410011278e-06,0.015199754765942153,0.6144580441838174,0.6141156114052668,0.0003424327785506263,simple-reactions/2023-07-05-run01/
