Wavelength,bkg,ref1_c1,ref1_c2,ref1_c3,ref1_c4,ref1_c5,ref2_c1,ref2_c2,ref2_c3,ref2_c4,ref2_c5,ref3_c1,ref3_c2,ref3_c3,ref3_c4,ref3_c5
238,0.011444444444444453,0.16155555555555554,0.32905555555555555,0.4845555555555555,0.6355555555555555,0.7960555555555555,-0.010944444444444455,-0.015944444444444452,-0.009944444444444454,-0.0009444444444444535,-0.0029444444444444535,0.14305555555555555,0.26655555555555555,0.4250555555555555,0.5685555555555555,0.7055555555555555
239,0.010851851851851859,0.16864814814814813,0.34464814814814815,0.5066481481481482,0.6631481481481482,0.8301481481481481,-0.01135185185185186,-0.015351851851851856,-0.010351851851851859,-0.00035185185185185926,-0.004351851851851859,0.14964814814814814,0.28164814814814815,0.4471481481481482,0.5996481481481482,0.7436481481481481
240,0.011185185185185194,0.1768148148148148,0.3583148148148148,0.5263148148148149,0.6898148148148148,0.8628148148148148,-0.011685185185185194,-0.015685185185185194,-0.011685185185185194,0.0008148148148148055,-0.005685185185185193,0.15381481481481482,0.2943148148148148,0.4693148148148148,0.6298148148148148,0.7788148148148148
241,0.01098148148148149,0.18301851851851852,0.3700185185185185,0.5445185185185186,0.7150185185185185,0.8915185185185186,-0.01298148148148149,-0.01648148148148149,-0.011981481481481489,0.0010185185185185098,-0.005481481481481491,0.1605185185185185,0.3065185185185185,0.4900185185185185,0.6555185185185186,0.8140185185185185
242,0.010425925925925934,0.1880740740740741,0.37907407407407406,0.559074074074074,0.734074074074074,0.915074074074074,-0.012425925925925934,-0.01692592592592593,-0.011925925925925934,0.001074074074074065,-0.003925925925925934,0.16557407407407407,0.31557407407407406,0.506074074074074,0.676074074074074,0.842574074074074
243,0.010444444444444452,0.19005555555555556,0.38305555555555554,0.5645555555555555,0.7425555555555555,0.9280555555555555,-0.011444444444444452,-0.016944444444444453,-0.011944444444444452,0.0005555555555555479,-0.003944444444444453,0.16755555555555554,0.32155555555555554,0.5150555555555556,0.6885555555555555,0.8560555555555556
244,0.010574074074074081,0.19142592592592594,0.38442592592592595,0.5669259259259258,0.7439259259259259,0.9294259259259259,-0.01107407407407408,-0.01607407407407408,-0.012574074074074081,0.0009259259259259186,-0.005074074074074082,0.16942592592592592,0.32342592592592595,0.515425925925926,0.6899259259259258,0.8589259259259259
245,0.010944444444444453,0.19205555555555556,0.38555555555555554,0.5680555555555555,0.7450555555555556,0.9305555555555556,-0.011444444444444452,-0.016444444444444452,-0.012444444444444452,0.0005555555555555461,-0.0034444444444444522,0.16905555555555554,0.32155555555555554,0.5110555555555556,0.6865555555555556,0.8530555555555556
246,0.010425925925925934,0.1955740740740741,0.3910740740740741,0.575574074074074,0.7555740740740741,0.9430740740740741,-0.010925925925925933,-0.015925925925925934,-0.011425925925925933,0.0005740740740740654,-0.003925925925925934,0.16907407407407407,0.32007407407407407,0.5095740740740741,0.682574074074074,0.851574074074074
247,0.010370370370370375,0.19612962962962965,0.3951296296296296,0.5826296296296296,0.7651296296296297,0.9581296296296296,-0.011370370370370374,-0.015870370370370375,-0.011870370370370375,0.000629629629629625,-0.005870370370370376,0.16512962962962963,0.31462962962962965,0.5051296296296297,0.6746296296296297,0.8446296296296296
