yield,Alcohol(mM),HBr(mM),Temperature(°C)
0.014346524108477698,9.937499946756251,0.1,21.0
0.06666038039040112,9.937499946756251,0.1,26.0
0.17008631639415128,9.937499946756251,0.1,31.0
0.26722988594660224,9.937499946756251,0.1,36.0
0.42171646071926805,9.937499946756251,2.575,16.0
0.4751426618616956,9.937499946756251,2.575,21.0
0.5766778425761205,9.937499946756251,2.575,26.0
0.7066709947221583,9.937499946756251,2.575,31.0
0.7952075722017007,9.937499946756251,2.575,36.0
0.6210896909539949,9.937499946756251,5.05,16.0
0.6912559409498318,9.937499946756251,5.05,21.0
0.794916045016715,9.937499946756251,5.05,26.0
0.9139184521593267,9.937499946756251,5.05,31.0
0.9928199704178144,9.937499946756251,5.05,36.0
0.6621584008306991,9.937499946756251,7.525,16.0
0.7250189532548506,9.937499946756251,7.525,21.0
0.8078720700313666,9.937499946756251,7.525,26.0
0.900221663666529,9.937499946756251,7.525,31.0
0.9714719711125861,9.937499946756251,7.525,36.0
0.6538902952605086,9.937499946756251,10.0,16.0
0.7133352651011888,9.937499946756251,10.0,21.0
0.7846297367469992,9.937499946756251,10.0,26.0
0.8598450067386709,9.937499946756251,10.0,31.0
0.9236597055467644,9.937499946756251,10.0,36.0
-0.022775282224684723,12.468749933378124,0.1,16.0
-0.032975079003843444,12.468749933378124,0.1,21.0
0.011274348910112586,12.468749933378124,0.1,26.0
0.11044252495554563,12.468749933378124,0.1,31.0
0.2116727973906789,12.468749933378124,0.1,36.0
0.34230423129522336,12.468749933378124,2.575,16.0
0.3956215274597197,12.468749933378124,2.575,21.0
0.5036763330764567,12.468749933378124,2.575,26.0
0.6467449649924037,12.468749933378124,2.575,31.0
0.7514146258372256,12.468749933378124,2.575,36.0
0.5461971499369831,12.468749933378124,5.05,16.0
0.6269459973628861,12.468749933378124,5.05,21.0
0.7494672378660407,12.468749933378124,5.05,26.0
0.8897502524607686,12.468749933378124,5.05,31.0
0.9847164910476405,12.468749933378124,5.05,36.0
0.6240744544618999,12.468749933378124,7.525,16.0
0.7035550084307629,12.468749933378124,7.525,21.0
0.8045971030190264,12.468749933378124,7.525,26.0
0.9112246241986819,12.468749933378124,7.525,31.0
0.9889192200052332,12.468749933378124,7.525,36.0
0.6504745675823091,12.468749933378124,10.0,16.0
0.7229663775009207,12.468749933378124,10.0,21.0
0.8019832017649136,12.468749933378124,10.0,26.0
0.8787527530165287,12.468749933378124,10.0,31.0
0.9400153687146822,12.468749933378124,10.0,36.0
-0.039400697259876605,14.99999992,0.1,16.0
-0.04536548737668644,14.99999992,0.1,21.0
-0.003956347665261983,14.99999992,0.1,26.0
0.08875013439091539,14.99999992,0.1,31.0
0.186054749619887,14.99999992,0.1,36.0
0.2814374872392058,14.99999992,2.575,16.0
0.33763269517920236,14.99999992,2.575,21.0
0.4482038240660726,14.99999992,2.575,26.0
0.594900581718683,14.99999992,2.575,31.0
0.7065823352110185,14.99999992,2.575,36.0
0.47863356812721847,14.99999992,5.05,16.0
0.5680085670618364,14.99999992,5.05,21.0
0.7027541834746858,14.99999992,5.05,26.0
0.8559508102145057,14.99999992,5.05,31.0
0.9615857575256936,14.99999992,5.05,36.0
0.5823366422085821,14.99999992,7.525,16.0
0.675947114592292,14.99999992,7.525,21.0
0.7929933952095416,14.99999992,7.525,26.0
0.9127939783055412,14.99999992,7.525,31.0
0.9967936731169105,14.99999992,7.525,36.0
0.6387625357411206,14.99999992,10.0,16.0
0.7238311622514466,14.99999992,10.0,21.0
0.8131988602295799,14.99999992,10.0,26.0
0.8956824516862354,14.99999992,10.0,31.0
0.9569563712114082,14.99999992,10.0,36.0
