uuid,local_index,global_index,vol#Acetonitrile,vol#E1OH02,vol#HBr,vol#HBr_dil_x_10,vol#HBr_dil_x_100,temperature,slot_id,plate_barcode,container_id,status,plate_barcodes_for_dilution,timestamp,full_status,timestamp_dilution,is_outlier,c#E1OH02,c#HBr,nanodrop_filepath,timestamp_nanodrop,pc#E1DB02,pc#E1OH02,yield,conversion,run_name
Nhn6MdJC8zqqQWwur2ppMy,27,97,180.6034483,294.5,24.89655172,0.0,0,26,0,61,27,completed,59,1694669045,"{""Acetonitrile"": [""completed"", 1694667578], ""E1OH02"": [""completed"", 1694668038], ""HBr"": [""completed"", 1694669045]}",1694686931,0,0.011625,0.00249,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.005659858101657403,0.006308448158334572,0.4729038494425357,0.4573377899155296,simple-reactions/2023-09-14-run01/
9jszxG5HNFqnTSKAATpiTU,28,93,194.2586207,294.5,11.24137931,0.0,0,26,0,61,28,completed,59,1694669114,"{""Acetonitrile"": [""completed"", 1694667550], ""E1OH02"": [""completed"", 1694668051], ""HBr"": [""completed"", 1694669114]}",1694686946,0,0.011625,0.001124,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.002809490749488625,0.007995948830369339,0.2600070759477196,0.3121764410172629,simple-reactions/2023-09-14-run01/
9m6M2oUVNR27w629tDKT2c,29,26,372.2413793,38.0,89.75862069,0.0,0,26,0,61,29,completed,59,1694668612,"{""Acetonitrile"": [""completed"", 1694667178], ""E1OH02"": [""completed"", 1694668498], ""HBr"": [""completed"", 1694668612]}",1694686960,0,0.0015,0.008976,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0013225627943006732,0.0002443472430424313,0.8440578991651918,0.8371018371061801,simple-reactions/2023-09-14-run01/
ZdDnAwHfa4DNkWcmF7vST5,30,137,60.96551724,380.0,59.03448276,0.0,0,26,0,61,30,completed,59,1694668826,"{""Acetonitrile"": [""completed"", 1694667789], ""E1OH02"": [""completed"", 1694667889], ""HBr"": [""completed"", 1694668826]}",1694686975,0,0.015,0.005903,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.008847345778183956,0.003649154687965883,0.7079858718966475,0.7567230195047971,simple-reactions/2023-09-14-run01/
4qWbHtRR6agUWeS5TyUknM,31,84,208.0689655,209.0,82.93103448,0.0,0,26,0,61,31,completed,59,1694668684,"{""Acetonitrile"": [""completed"", 1694667522], ""E1OH02"": [""completed"", 1694668235], ""HBr"": [""completed"", 1694668684]}",1694686989,0,0.00825,0.008293,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.005995460338887507,0.0017090152849515113,0.7781788964762879,0.7928466310305576,simple-reactions/2023-09-14-run01/
6fnJesVk2efnQedL5M5ep4,32,27,368.8275862,38.0,93.17241379,0.0,0,26,0,61,32,completed,59,1694668589,"{""Acetonitrile"": [""completed"", 1694667193], ""E1OH02"": [""completed"", 1694668510], ""HBr"": [""completed"", 1694668589]}",1694687004,0,0.0015,0.009317,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0010411448569770773,0.0003102147951583408,0.7704424616584198,0.7931901354622565,simple-reactions/2023-09-14-run01/
RQoFXMMLkVudgUytnCchpZ,33,127,95.10344828,380.0,24.89655172,0.0,0,26,0,61,33,completed,59,1694669057,"{""Acetonitrile"": [""completed"", 1694667725], ""E1OH02"": [""completed"", 1694667904], ""HBr"": [""completed"", 1694669057]}",1694687019,0,0.015,0.00249,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.005771314146393282,0.009180002374371094,0.3860070876285768,0.3879998384445928,simple-reactions/2023-09-14-run01/
Exue5r6iUurXp2xvFTenRp,34,132,78.03448276,380.0,41.96551724,0.0,0,26,0,61,34,completed,59,1694668940,"{""Acetonitrile"": [""completed"", 1694667737], ""E1OH02"": [""completed"", 1694667918], ""HBr"": [""completed"", 1694668940]}",1694687033,0,0.015,0.004197,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.006681661256182642,0.005021846286917959,0.5709110052329214,0.6652102457532573,simple-reactions/2023-09-14-run01/
cQDPB6SJJp45JesUhHiwWr,35,59,276.5,123.5,100.0,0.0,0,26,0,61,35,completed,59,1694668565,"{""Acetonitrile"": [""completed"", 1694667366], ""E1OH02"": [""completed"", 1694668396], ""HBr"": [""completed"", 1694668565]}",1694687048,0,0.004875,0.01,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0035296257280376373,0.0009712393600029912,0.7842105148666424,0.8007714122701672,simple-reactions/2023-09-14-run01/
5kpqH4kPXApQJRgFqS8gzL,36,18,399.55172410000006,38.0,62.44827586,0.0,0,26,0,61,36,completed,59,1694668790,"{""Acetonitrile"": [""completed"", 1694667116], ""E1OH02"": [""completed"", 1694668521], ""HBr"": [""completed"", 1694668790]}",1694687062,0,0.0015,0.006245,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0011740380268632662,0.00023294790269314872,0.8344348029360954,0.8447013973887322,simple-reactions/2023-09-14-run01/
