ic001,am001,ald001,ptsa,yield
0.12,0.12,0.12,0.12304702194357367,0.019400523752682503
0.12,0.12,0.12,0.12585579937304076,0.02004656506731509
0.12,0.12,0.12,0.12866457680250784,0.020631306168747032
0.12,0.12,0.12,0.13147335423197493,0.02114730960058283
0.12,0.12,0.12,0.134282131661442,0.021587137906427044
0.12,0.12,0.12,0.13709090909090907,0.02194335362988418
0.12,0.12,0.12,0.13989968652037615,0.02220851931455878
0.12,0.12,0.12,0.14270846394984324,0.022375197504055377
0.12,0.12,0.12,0.14551724137931032,0.022435950741978492
0.12,0.12,0.12,0.14832601880877744,0.022383341571932665
0.12,0.12,0.12,0.15113479623824452,0.022209932684431152
0.12,0.12,0.12,0.1539435736677116,0.021911869139748744
0.12,0.12,0.12,0.15675235109717867,0.021498171521350962
0.12,0.12,0.12,0.15956112852664575,0.02098075201754301
0.12,0.12,0.12,0.16236990595611284,0.020371522816630072
0.12,0.12,0.12,0.16517868338557992,0.019682396106917383
0.12,0.12,0.12,0.167987460815047,0.018925284076710125
0.12,0.12,0.12,0.1707962382445141,0.01811209891431351
0.12,0.12,0.12,0.17360501567398118,0.017254752808032736
0.12,0.12,0.12,0.17641379310344826,0.01636515794617301
0.12,0.12,0.12,0.17922257053291535,0.015455226517039533
0.12,0.12,0.12,0.18203134796238243,0.014536870708937511
0.12,0.12,0.12,0.18484012539184952,0.013622002710172143
0.12,0.12,0.12,0.1876489028213166,0.01272253470904864
0.12,0.12,0.12,0.1904576802507837,0.011850378893872198
0.12,0.12,0.12,0.19326645768025077,0.01101744745294802
0.12,0.12,0.12,0.19607523510971786,0.010235652574581316
0.12,0.12,0.12,0.19888401253918495,0.009516906447077287
0.12,0.12,0.12,0.20169278996865203,0.008873121258741132
0.12,0.12,0.12,0.20450156739811912,0.00831620919787806
0.12,0.12,0.12,0.2073103448275862,0.007858082452793269
0.12,0.12,0.12,0.2101191222570533,0.007510653211791964
0.12,0.12,0.12,0.21292789968652037,0.007283449537090321
0.12,0.12,0.12,0.21573667711598746,0.00716954300521905
0.12,0.12,0.12,0.21854545454545454,0.007155061305455067
0.12,0.12,0.12,0.22135423197492163,0.007226107633300232
0.12,0.12,0.12,0.2241630094043887,0.0073687851842564
0.12,0.12,0.12,0.2269717868338558,0.0075691971538254296
0.12,0.12,0.12,0.22978056426332288,0.007813446737509179
0.12,0.12,0.12,0.23258934169278997,0.008087637130809502
0.12,0.12,0.12,0.23539811912225705,0.008377871529228264
0.12,0.12,0.12,0.23820689655172414,0.008670253128267316
0.12,0.12,0.12,0.24101567398119123,0.00895088512342852
0.12,0.12,0.12,0.2438244514106583,0.00920587071021373
0.12,0.12,0.12,0.2466332288401254,0.009421313084124805
0.12,0.12,0.12,0.24944200626959245,0.009583315440663601
0.12,0.12,0.12,0.2522507836990595,0.009677980975331981
0.12,0.12,0.12,0.2550595611285266,0.009691412883631798
0.12,0.12,0.12,0.2578683385579937,0.009609714361064916
0.12,0.12,0.12,0.2606771159874608,0.00941900657365062
0.12,0.12,0.12,0.26348589341692785,0.009114539710266711
0.12,0.12,0.12,0.26629467084639497,0.008715518659535817
0.12,0.12,0.12,0.269103448275862,0.00824502994184717
0.12,0.12,0.12,0.27191222570532914,0.007726160077589998
0.12,0.12,0.12,0.27472100313479625,0.007181995587153543
0.12,0.12,0.12,0.2775297805642633,0.00663562299092705
0.12,0.12,0.12,0.2803385579937304,0.006110128809299729
0.12,0.12,0.12,0.2831473354231975,0.005628599562660838
0.12,0.12,0.12,0.2859561128526646,0.005214121771399592
0.12,0.12,0.12,0.28876489028213165,0.0048897819559052405
0.12,0.12,0.12,0.2915736677115987,0.004678015314257323
0.12,0.12,0.12,0.2943824451410658,0.004588518724033032
0.12,0.12,0.12,0.2971912225705329,0.004619384332602649
0.12,0.12,0.12,0.3,0.004768280300635896
0.12,0.12,0.15,0.02193103448275862,0.00040536274619895233
0.12,0.12,0.15,0.024739811912225705,0.0004267191421517545
0.12,0.12,0.15,0.02754858934169279,0.0004433021256800643
0.12,0.12,0.15,0.030357366771159872,0.000462147541271542
0.12,0.12,0.15,0.033166144200626954,0.0004902912334138483
0.12,0.12,0.15,0.03597492163009404,0.0005347690465946443
0.12,0.12,0.15,0.038783699059561125,0.00060261682530159
0.12,0.12,0.15,0.04159247648902821,0.0007008704140223473
0.12,0.12,0.15,0.044401253918495295,0.0008365656572445757
0.12,0.12,0.15,0.04721003134796238,0.0010167383994559363
0.12,0.12,0.15,0.050018808777429466,0.0012484244851440908
0.12,0.12,0.15,0.05282758620689655,0.0015386597587966977
0.12,0.12,0.15,0.05563636363636363,0.0018944800649014193
0.12,0.12,0.15,0.058445141065830715,0.002322921247945916
0.12,0.12,0.15,0.0612539184952978,0.002831019152417849
0.12,0.12,0.15,0.06406269592476488,0.0034245120169365843
0.12,0.12,0.15,0.06687147335423196,0.004101130169832439
0.12,0.12,0.15,0.06968025078369905,0.004855552162671408
0.12,0.12,0.15,0.07248902821316613,0.005682450539584913
0.12,0.12,0.15,0.07529780564263322,0.006576497844704371
0.12,0.12,0.15,0.0781065830721003,0.007532366622161206
0.12,0.12,0.15,0.08091536050156739,0.008544729416086838
0.12,0.12,0.15,0.08372413793103448,0.009608258770612688
0.12,0.12,0.15,0.08653291536050156,0.010717627229870174
0.12,0.12,0.15,0.08934169278996865,0.011867507337990718
0.12,0.12,0.15,0.09215047021943573,0.013052536057379693
0.12,0.12,0.15,0.09495924764890282,0.014263044961590905
0.12,0.12,0.15,0.0977680250783699,0.015481003918557354
0.12,0.12,0.15,0.10057680250783699,0.016687422089608793
0.12,0.12,0.15,0.10338557993730407,0.01786330863607496
0.12,0.12,0.15,0.10619435736677116,0.01898967271928562
0.12,0.12,0.15,0.10900313479623824,0.020047523500570527
0.12,0.12,0.15,0.11181191222570533,0.02101789315356309
0.12,0.12,0.15,0.11462068965517241,0.02188833774793635
0.12,0.12,0.15,0.1174294670846395,0.0226618744917525
0.12,0.12,0.15,0.12023824451410658,0.023343760518663194
0.12,0.12,0.15,0.12304702194357367,0.023938987491340394
0.12,0.12,0.15,0.12585579937304076,0.024449178249365395
0.12,0.12,0.15,0.12866457680250784,0.02487363995336218
0.12,0.12,0.15,0.13147335423197493,0.025211634244239445
0.12,0.12,0.15,0.134282131661442,0.025462422762905883
