,0,1,4,2,3,8,5,6,14,7,10,9,12,11,13,16,15,20,18,17,19,22,21,24,23,28,25,26,27,30,29,42,31,32,33,34,35,36,37,38,39,40,41,44,43,47,45,46,49,48,51,50,53,52
230,0.016,0.017,0.016,0.014,0.009,0.01,0.002,0.013,-0.005,0.006,0.014,0.004,0.01,0.013,-0.03,0.017,0.014,-0.006,0.015,0.014,0.011,0.014,0.012,0.013,0.015,0.002,0.01,0.017,0.002,0.001,0.016,0.017,0.016,0.006,0.002,-0.004,0.005,0.011,0.002,0.015,0.013,-0.012,0.008,0.003,0.012,0.012,0.016,0.003,0.001,0.015,0.018,0.016,0.002,0.003
231,0.015,0.018,0.016,0.012,0.007,0.01,0.003,0.013,-0.005,0.007,0.014,0.003,0.01,0.011,-0.034,0.017,0.014,-0.009,0.013,0.014,0.012,0.013,0.009,0.013,0.014,0.003,0.011,0.017,0.002,0.0,0.016,0.017,0.015,0.007,0.003,-0.006,0.005,0.011,0.004,0.015,0.013,-0.012,0.005,0.004,0.012,0.011,0.016,0.002,0.002,0.015,0.018,0.016,0.003,0.003
232,0.014,0.018,0.016,0.01,0.006,0.011,0.005,0.013,-0.005,0.007,0.014,0.004,0.009,0.01,-0.035,0.016,0.014,-0.011,0.012,0.013,0.013,0.012,0.009,0.012,0.014,0.003,0.011,0.016,0.002,-0.002,0.015,0.017,0.015,0.008,0.003,-0.006,0.005,0.01,0.002,0.014,0.013,-0.011,0.005,0.004,0.012,0.01,0.015,0.001,0.003,0.015,0.017,0.016,0.004,0.004
233,0.013,0.017,0.016,0.009,0.006,0.011,0.005,0.013,-0.006,0.007,0.015,0.004,0.009,0.011,-0.035,0.017,0.015,-0.011,0.012,0.013,0.013,0.012,0.009,0.013,0.014,0.004,0.012,0.017,0.002,-0.003,0.015,0.018,0.016,0.008,0.002,-0.006,0.005,0.011,0.0,0.015,0.013,-0.009,0.007,0.004,0.012,0.009,0.016,0.002,0.002,0.014,0.017,0.015,0.003,0.004
234,0.013,0.015,0.015,0.009,0.006,0.01,0.003,0.013,-0.007,0.005,0.015,0.004,0.01,0.012,-0.036,0.018,0.015,-0.011,0.012,0.014,0.011,0.011,0.009,0.014,0.013,0.003,0.01,0.017,0.001,-0.002,0.016,0.018,0.016,0.006,0.001,-0.006,0.003,0.01,-0.002,0.016,0.013,-0.01,0.007,0.002,0.011,0.009,0.017,0.002,0.0,0.013,0.017,0.016,0.001,0.003
235,0.012,0.014,0.014,0.01,0.005,0.008,0.002,0.012,-0.007,0.006,0.013,0.004,0.009,0.011,-0.034,0.016,0.014,-0.013,0.013,0.013,0.009,0.011,0.006,0.013,0.012,0.002,0.009,0.016,0.001,0.0,0.015,0.017,0.015,0.005,0.001,-0.005,0.003,0.01,0.0,0.015,0.012,-0.01,0.007,0.001,0.01,0.008,0.016,0.001,-0.001,0.012,0.016,0.015,0.001,0.002
236,0.01,0.014,0.013,0.008,0.004,0.008,0.0,0.011,-0.007,0.006,0.011,0.002,0.008,0.009,-0.035,0.014,0.012,-0.017,0.011,0.011,0.008,0.01,0.004,0.011,0.01,0.001,0.008,0.014,-0.001,0.0,0.013,0.015,0.013,0.003,-0.001,-0.006,0.002,0.008,0.004,0.013,0.01,-0.01,0.005,-0.001,0.008,0.007,0.014,0.0,-0.002,0.011,0.014,0.014,0.0,0.001
237,0.009,0.013,0.012,0.008,0.003,0.006,-0.001,0.01,-0.008,0.004,0.01,0.002,0.006,0.007,-0.032,0.012,0.011,-0.017,0.01,0.009,0.006,0.008,0.003,0.009,0.01,-0.002,0.007,0.012,-0.002,-0.001,0.011,0.013,0.011,0.003,-0.001,-0.008,0.002,0.007,0.003,0.011,0.009,-0.011,0.003,-0.002,0.007,0.007,0.012,-0.001,-0.002,0.01,0.012,0.012,-0.001,0.0
238,0.007,0.011,0.011,0.008,0.003,0.005,-0.001,0.008,-0.01,0.004,0.009,0.002,0.005,0.007,-0.032,0.012,0.01,-0.014,0.01,0.008,0.005,0.008,0.004,0.008,0.011,-0.002,0.006,0.012,-0.002,-0.003,0.009,0.012,0.01,0.003,-0.002,-0.011,0.001,0.006,0.0,0.01,0.007,-0.013,0.003,-0.002,0.006,0.007,0.011,0.0,-0.003,0.01,0.012,0.01,-0.002,-0.001
239,0.007,0.01,0.012,0.008,0.003,0.005,-0.001,0.008,-0.009,0.002,0.011,0.001,0.006,0.007,-0.034,0.013,0.01,-0.011,0.01,0.009,0.006,0.007,0.007,0.008,0.01,-0.002,0.005,0.012,-0.001,-0.002,0.01,0.012,0.011,0.003,-0.002,-0.01,0.001,0.007,-0.008,0.011,0.008,-0.013,0.003,-0.001,0.006,0.008,0.011,0.002,-0.003,0.01,0.013,0.011,-0.003,-0.001
