Index,Mn,Fe,Co,Ni,Cu,M1-Fe,M1-Co,Yield_of_styrene_oxide (%),Yield_of_benzaldehyde (%),Selectivity_of_styrene_oxide (%)
156,0,0.2,0.4,0,0.4,0.2,0.8,60.73396244,4.299355734,93.389
157,0,0.2,0.4,0.2,0.2,0.2,0.8,60.16495388,4.197172822,93.47882
158,0,0.2,0.4,0.4,0,0.2,0.8,36.45377777,5.863926523,86.14309
159,0,0.2,0.6,0,0.2,0.2,0.8,58.82096312,4.977187751,92.19854
160,0,0.2,0.6,0.2,0,0.2,0.8,39.76809102,5.474243846,87.90017
161,0,0.2,0.8,0,0,0.2,0.8,39.9473499,5.433883456,88.02614
162,0,0.4,0,0,0.6,0.2,0.8,50.22592666,6.895593743,87.9282
163,0,0.4,0,0.2,0.4,0.2,0.8,45.99638975,3.575873492,92.78654
164,0,0.4,0,0.4,0.2,0.2,0.8,27.05863134,6.35678793,80.97648
165,0,0.4,0,0.6,0,0.2,0.8,17.97587661,5.313148599,77.18604
166,0,0.4,0.2,0,0.4,0.2,0.8,61.53050995,4.204350335,93.60408
167,0,0.4,0.2,0.2,0.2,0.2,0.8,59.39392822,4.388846616,93.11907
168,0,0.4,0.2,0.4,0,0.2,0.8,23.69636627,5.047688624,82.43919
169,0,0.4,0.4,0,0.2,0.2,0.8,57.17995779,5.713553391,90.91551
170,0,0.4,0.4,0.2,0,0.2,0.8,29.89968468,4.876503495,85.97746
171,0,0.4,0.6,0,0,0.2,0.8,35.94463447,5.552486111,86.61959
172,0,0.6,0,0,0.4,0.2,0.8,47.49323537,6.80163003,87.47279
173,0,0.6,0,0.2,0.2,0.2,0.8,28.97842865,1.80919927,94.12362
174,0,0.6,0,0.4,0,0.2,0.8,17.10225716,4.901172803,77.72541
175,0,0.6,0.2,0,0.2,0.2,0.8,53.27120799,6.38302358,89.29997
176,0,0.6,0.2,0.2,0,0.2,0.8,20.19828565,4.189559416,82.82112
177,0,0.6,0.4,0,0,0.2,0.8,27.40818098,4.675104724,85.42822
178,0,0.8,0,0,0.2,0.2,0.8,40.3501912,5.03398322,88.90806
179,0,0.8,0,0.2,0,0.2,0.8,18.18735413,5.213030076,77.72246
180,0,0.8,0.2,0,0,0.2,0.8,18.77883254,5.32090163,77.92133
181,0,1,0,0,0,0.2,0.8,19.95499759,6.185489719,76.33751
182,0.2,0,0,0,0.8,0.2,0.8,58.83474888,5.71218642,91.15034
183,0.2,0,0,0.2,0.6,0.2,0.8,61.81029027,3.655676434,94.41591
184,0.2,0,0,0.4,0.4,0.2,0.8,40.74048077,6.787205154,85.71947
185,0.2,0,0,0.6,0.2,0.2,0.8,29.6972987,3.67722246,88.98195
186,0.2,0,0,0.8,0,0.2,0.8,13.04832082,4.499885762,74.357
187,0.2,0,0.2,0,0.6,0.2,0.8,59.01720316,4.999914555,92.18972
188,0.2,0,0.2,0.2,0.4,0.2,0.8,61.71709708,3.368962739,94.82383
189,0.2,0,0.2,0.4,0.2,0.2,0.8,59.38806948,1.551223629,97.45448
190,0.2,0,0.2,0.6,0,0.2,0.8,32.05517113,3.170756715,90.9988
191,0.2,0,0.4,0,0.4,0.2,0.8,60.36925008,5.136519286,92.15868
192,0.2,0,0.4,0.2,0.2,0.2,0.8,58.7362936,2.212530096,96.36986
193,0.2,0,0.4,0.4,0,0.2,0.8,36.37047766,2.432917766,93.73014
194,0.2,0,0.6,0,0.2,0.2,0.8,60.17258581,4.159172248,93.53481
195,0.2,0,0.6,0.2,0,0.2,0.8,38.439911,5.310248147,87.86233
196,0.2,0,0.8,0,0,0.2,0.8,38.27051817,4.507313563,89.46344
197,0.2,0.2,0,0,0.6,0.2,0.8,58.62552146,6.075779953,90.60949
198,0.2,0.2,0,0.2,0.4,0.2,0.8,57.82932403,3.841211704,93.7714
199,0.2,0.2,0,0.4,0.2,0.2,0.8,45.81810752,3.952069477,92.05936
200,0.2,0.2,0,0.6,0,0.2,0.8,18.50482418,3.732966333,83.21341
201,0.2,0.2,0.2,0,0.4,0.2,0.8,61.24096483,4.434041429,93.24851
202,0.2,0.2,0.2,0.2,0.2,0.2,0.8,54.69014103,5.312430829,91.14633
203,0.2,0.2,0.2,0.4,0,0.2,0.8,33.91955418,4.39235132,88.53528
204,0.2,0.2,0.4,0,0.2,0.2,0.8,54.96968207,2.45127349,95.73105
205,0.2,0.2,0.4,0.2,0,0.2,0.8,36.12174044,4.695229338,88.49687
206,0.2,0.2,0.6,0,0,0.2,0.8,36.60849513,2.345537759,93.9787
207,0.2,0.4,0,0,0.4,0.2,0.8,55.73849706,6.125599834,90.0983
